Cn	r	z(m)	z(s)	sol_time(m)	sol_time(s)	mmccp_max_len_inc(m)	mmccp_max_len_inc(s)	mmccp_sum_len_inc(m)	mmccp_sum_len_inc(s)
10	2	2.075641367373838	0.6124125862349069	0.003148508071899414	0.000775023955172785	0.48593615640300614	0.5649433744648629	1.1997195454202216	0.7946442391618492
10	4	1.3814296664559826	0.3251698379791508	0.004804015159606934	0.0012463777676416565	1.3814296664559826	0.3251698379791508	2.7586249561287963	0.9365460821918774
10	6	1.3814296664559826	0.3251698379791508	0.005240797996520996	0.001428600900040627	1.3814296664559826	0.3251698379791508	2.758624956128797	0.9365460821918775
10	8	1.3814296664559822	0.3251698379791508	0.004763031005859375	0.0010604702535434133	1.3814296664559822	0.3251698379791508	2.758624956128797	0.9365460821918775
10	10	1.3814296664559824	0.3251698379791508	0.004573154449462891	0.0008902413344704737	1.3814296664559824	0.3251698379791508	2.7586249561287968	0.9365460821918775
20	2	2.9212543526756187	0.6679039101855959	0.00893101692199707	0.002637719684355089	0.4424850546243608	0.32397984855021833	1.1641169666745275	0.6645931445520206
20	4	1.7788834405392173	0.42866807775422194	0.015573215484619141	0.003321463333085116	0.4652468129572089	0.359597683961034	2.795236109720359	0.6491424380624425
20	6	1.326846915097415	0.14126175627877527	0.030407023429870606	0.0070063024980116986	0.914439959646212	0.2730638333601078	3.76037758250313	0.7742850613622067
20	8	1.2404432191903507	0.18677461632511125	0.05140111446380615	0.007377933671551746	1.226273925730675	0.16799992784500942	4.562200712500124	0.8521209862271066
20	10	1.2404432191903507	0.18677461632511125	0.058974266052246094	0.018070084755109284	1.2262739257306747	0.16799992784500942	4.562200712500123	0.8521209862271066
30	2	3.2893064944797503	0.7266290843024653	0.016332626342773438	0.003751555269267866	0.10597945862535382	0.16522157822269995	1.160018711108787	0.8650284841791177
30	4	2.20628923258593	0.5370106897790304	0.032474684715271	0.009017899767267369	0.09442408623696404	0.18023751432016896	1.4150800275305575	0.4000547404826188
30	6	1.760182548168208	0.48211906119246284	0.06391630172729493	0.026789320266303474	0.20696844230224637	0.3555590592313322	2.7241895089132475	1.007086880600983
30	8	1.1806277849955593	0.37919491567805585	0.11437487602233887	0.03113924724567344	0.32692545307930726	0.3812218280278991	3.5416595743855988	0.849419934752937
30	10	0.9915841979610007	0.19265632367004543	0.18222007751464844	0.02881614971374833	0.7094991678527969	0.22956210869227392	3.863887429657468	0.49726908008239024
40	2	3.6760425427228576	0.5895457935780748	0.03781297206878662	0.007496270604138446	0.04912398052913889	0.09960242249693163	1.0843260797607948	0.7606865887765855
40	4	2.6877080321861593	0.7219429463848581	0.08031044006347657	0.0227074704467904	0.044861572779689406	0.09338689640731629	2.3636527305008235	0.8598143035299936
40	6	2.1565801807800615	0.5522163265959137	0.13345322608947754	0.04995732944169063	0.16212936261003102	0.4337704432616306	2.973350297525708	0.43343624099265776
40	8	1.5783409574507112	0.6450632249656543	0.23527052402496337	0.06059630880033465	0.3069601043758084	0.2965494115669172	3.5761502821281477	0.6184934900210959
40	10	1.5504167021246542	0.6601034289163099	0.32168600559234617	0.15151058968102357	0.4148770088609127	0.36612881565544386	3.99811241569561	0.8192889596423741
50	2	3.7971729208517346	0.6547669518142317	0.06298632621765136	0.010820289995512192	0.04559981554451746	0.07575845149530508	0.49078338772054286	0.4488426437100643
50	4	2.781606441757944	0.48572241421064727	0.13338775634765626	0.03455457967181579	0.0	0.0	2.2063944829888547	0.586231865090417
50	6	2.295985834689398	0.5979553759327744	0.20745487213134767	0.0835274211267565	0.015721626706194126	0.03155619273299836	2.4283988961589515	0.8481859732984184
50	8	1.8321359428332347	0.5533993916178683	0.312601113319397	0.11420159317412874	0.02097085721602896	0.03265932975400146	2.6875561232408254	0.9405031152084457
50	10	1.2663407621541078	0.23207579937851214	0.588773250579834	0.13546208668872053	0.25439295993563965	0.2851401303379755	3.8514511636941746	1.2031645770555495
60	2	3.3553445838842237	0.32194881923979923	0.10131363868713379	0.007741040210513673	0.057045376810849334	0.08348923721198445	0.3703581585392738	0.33543460606331804
60	4	2.6262060177971396	0.5180524921938344	0.2184614896774292	0.03731470176038461	0.01950329556911785	0.05474352025319214	1.8326824672614435	0.8463691657931086
60	6	2.2531457013852565	0.21166586279079824	0.30952820777893064	0.1223101192681038	0.018340416198849095	0.05502124859654729	2.2452834249962272	1.1855786752695394
60	8	2.0211416579157047	0.3506157794758987	0.4086726903915405	0.1561427038956421	0.0	0.0	2.664690457173572	1.21704433779111
60	10	1.450430807057403	0.31043733104574067	0.7832308053970337	0.2710230451074867	0.16888942873038312	0.23520468017718624	4.220711392561137	1.3768874105923858
70	2	4.125044539473015	0.7888331597918716	0.14122374057769777	0.010142448595635936	0.07976125928361326	0.12891597760814916	0.506866789944461	0.2545887625779697
70	4	3.222314275855298	0.7502017611383203	0.29143824577331545	0.03259686462000909	0.02875177126425632	0.06078341017862798	1.5910858292614356	0.7627969024714707
70	6	2.601693039005078	0.5506128953485964	0.3953690528869629	0.1151807333763566	0.039393500041164375	0.0640461034872143	1.7184125158910681	0.8223941694990238
70	8	2.101467995984746	0.41897922181481967	0.6768925666809082	0.227851004235573	0.044128887092504884	0.10197550175472608	3.306172400489514	1.4033196066025857
70	10	1.7550133548144156	0.45517132335981103	0.8703066587448121	0.23013436164195775	0.05620846888647783	0.10337635228047648	3.9507029207607003	1.0598640468583953
80	2	4.059170462514997	0.3373310368278143	0.18362243175506593	0.012659411015808301	0.08424531755105154	0.10691004007934532	0.3166088962385832	0.24363869337885213
80	4	3.074440638740287	0.4173874058016077	0.35921857357025144	0.0755762192366373	0.007051310083867612	0.021153930251602837	1.4329778544941476	0.7248306067830473
80	6	2.6735133478913493	0.6375494676524393	0.4823308944702148	0.15886050003365954	0.007051310083867612	0.021153930251602837	1.9502303168194088	0.9316228961904416
80	8	2.3599331628015556	0.6695082198940816	0.6761806726455688	0.23526468949488644	0.0028541402538941217	0.008562420761682366	2.5414892511949487	0.9319769318226105
80	10	2.1481045884580134	0.392939251707549	0.8834671258926392	0.3339630590478644	0.0028541402538941217	0.008562420761682366	2.927573641037077	0.9459221707371521
