Cn	r	z(m)	z(s)	sol_time(m)	sol_time(s)	mmccp_max_len_inc(m)	mmccp_max_len_inc(s)	mmccp_sum_len_inc(m)	mmccp_sum_len_inc(s)
10	2	1.589705210970832	0.7899051679047253	0.0027260541915893554	0.0006544476687904427	0.0	0.0	0.0	0.0
10	4	0.0	0.0	0.0025586366653442385	0.0010844946305944207	0.0	0.0	0.0	0.0
10	6	0.0	0.0	0.0024875640869140626	0.0009031931843156347	0.0	0.0	0.0	0.0
10	8	0.0	0.0	0.002555179595947266	0.0010078170479374817	0.0	0.0	0.0	0.0
10	10	0.0	0.0	0.0022409677505493162	0.000701682931538547	0.0	0.0	0.0	0.0
20	2	2.4787692980512586	0.7497730803752869	0.006624698638916016	0.001689843108893177	0.0	0.0	0.0	0.0
20	4	1.3136366275820084	0.635255205823193	0.00693509578704834	0.0022593149763660714	0.0	0.0	0.0	0.0
20	6	0.4124069554512026	0.23132302559876022	0.005908536911010742	0.0002886872696236287	0.0	0.0	0.0	0.0
20	8	0.014169293459675889	0.031417752746927374	0.005676102638244629	0.00041015661778909826	0.0	0.0	0.0	0.0
20	10	0.014169293459675889	0.03141775274692737	0.006323003768920898	0.0016078429677548508	0.0	0.0	0.0	0.0
30	2	3.1833270358543966	0.6939601679682686	0.010741496086120605	0.0009268678847827046	0.0	0.0	0.0	0.0
30	4	2.1118651463489657	0.5949803420411827	0.010694646835327148	0.0008159380901948426	0.0	0.0	0.0	0.0
30	6	1.5532141058659616	0.6349877460423045	0.012528824806213378	0.003972337838323894	0.0	0.0	0.0	0.0
30	8	0.853702331916252	0.5161982192009829	0.010706353187561034	0.0008888284858752756	0.0	0.0	0.0	0.0
30	10	0.2820850301082039	0.07448155850932044	0.010442519187927246	0.0008013419927931686	0.0	0.0	0.0	0.0
40	2	3.626918562193719	0.6615921750708014	0.019991850852966307	0.0034985165729974864	0.0	0.0	0.0	0.0
40	4	2.6428464594064702	0.7370845495410512	0.021274542808532713	0.006155527645830227	0.0	0.0	0.0	0.0
40	6	1.9944508181700304	0.6926333616039433	0.02080845832824707	0.0034301501164227103	0.0	0.0	0.0	0.0
40	8	1.271380853074903	0.7969662518641975	0.02126462459564209	0.004410117129397883	0.0	0.0	0.0	0.0
40	10	1.1355396932637416	0.8919870446860562	0.019806861877441406	0.003001222738872271	0.0	0.0	0.0	0.0
50	2	3.751573105307217	0.7028227730380502	0.02507476806640625	0.003438242026526026	0.0	0.0	0.0	0.0
50	4	2.781606441757944	0.48572241421064727	0.02445082664489746	0.0030836621219145653	0.0	0.0	0.0	0.0
50	6	2.280264207983204	0.6250343390872719	0.024405455589294432	0.0030026606429514975	0.0	0.0	0.0	0.0
50	8	1.811165085617206	0.579326152372612	0.02495753765106201	0.0032983623570039047	0.0	0.0	0.0	0.0
50	10	1.011947802218468	0.4037685515834706	0.025031518936157227	0.00297919152933429	0.0	0.0	0.0	0.0
60	2	3.2982992070733745	0.3635867515449555	0.03525047302246094	0.007523603072600649	0.0	0.0	0.0	0.0
60	4	2.6067027222280217	0.527548003553199	0.03714511394500732	0.010372302249472127	0.0	0.0	0.0	0.0
60	6	2.2348052851864075	0.20134587044901667	0.0385880708694458	0.00901025227205854	0.0	0.0	0.0	0.0
60	8	2.0211416579157047	0.3506157794758987	0.036386871337890626	0.006453467218713007	0.0	0.0	0.0	0.0
60	10	1.2815413783270198	0.45499283492606785	0.03805825710296631	0.008018380837602198	0.0	0.0	0.0	0.0
70	2	4.045283280189401	0.8274844482092886	0.05147223472595215	0.010323221672894463	0.0	0.0	0.0	0.0
70	4	3.193562504591042	0.7697936217792106	0.048028755187988284	0.006014094891263027	0.0	0.0	0.0	0.0
70	6	2.562299538963913	0.5591946654885875	0.04855012893676758	0.005689990404579963	0.0	0.0	0.0	0.0
70	8	2.0573391088922413	0.4749072871179452	0.04843771457672119	0.005057847338165264	0.0	0.0	0.0	0.0
70	10	1.6988048859279377	0.5066407495923092	0.04841639995574951	0.005991372678649123	0.0	0.0	0.0	0.0
80	2	3.9749251449639464	0.38275624349856074	0.06934833526611328	0.011430399651596186	0.0	0.0	0.0	0.0
80	4	3.0673893286564193	0.42353189171024774	0.06552770137786865	0.008948461500244819	0.0	0.0	0.0	0.0
80	6	2.6664620378074817	0.6371673368747428	0.0656123161315918	0.00860703961838528	0.0	0.0	0.0	0.0
80	8	2.357079022547661	0.6719880448788398	0.06605327129364014	0.008496051366052892	0.0	0.0	0.0	0.0
80	10	2.145250448204119	0.39562451208805843	0.06993510723114013	0.013099261286810888	0.0	0.0	0.0	0.0
90	2	4.224286505666762	0.5910542109776868	0.09123737812042236	0.021915413243705568	0.0	0.0	0.0	0.0
90	4	3.523986862902865	0.6538464735487081	0.08865883350372314	0.022135917361221592	0.0	0.0	0.0	0.0
90	6	3.2314648410527953	0.8755158127525811	0.08750860691070557	0.02009695999221843	0.0	0.0	0.0	0.0
90	8	2.6494329361619817	0.8643578724093821	0.08646550178527831	0.01920705999047515	0.0	0.0	0.0	0.0
90	10	1.931023190030001	0.6472439015939174	0.08924975395202636	0.02476712278431404	0.0	0.0	0.0	0.0
100	2	4.264242413813276	0.7073281159467713	0.11674716472625732	0.03054769478360782	0.0	0.0	0.0	0.0
100	4	3.4545364649705474	0.625769215214267	0.1087421178817749	0.020553333491074088	0.0	0.0	0.0	0.0
100	6	3.21026995425607	0.6713726417142969	0.10670211315155029	0.020594755454271436	0.0	0.0	0.0	0.0
100	8	2.7998658430558048	0.8252142067807644	0.10324006080627442	0.02076310972774126	0.0	0.0	0.0	0.0
100	10	2.2730101964852043	0.742349502731683	0.10706169605255127	0.019763393529324748	0.0	0.0	0.0	0.0
