Cn	r	z(m)	z(s)	sol_time(m)	sol_time(s)	mmccp_max_len_inc(m)	mmccp_max_len_inc(s)	mmccp_sum_len_inc(m)	mmccp_sum_len_inc(s)
80	6	2.6664620378074817	0.6371673368747428	0.0656123161315918	0.00860703961838528	0.0	0.0	0.0	0.0
20	6	0.4124069554512026	0.23132302559876022	0.005908536911010742	0.0002886872696236287	0.0	0.0	0.0	0.0
10	6	0.0	0.0	0.0024875640869140626	0.0009031931843156347	0.0	0.0	0.0	0.0
100	6	3.21026995425607	0.6713726417142969	0.10670211315155029	0.020594755454271436	0.0	0.0	0.0	0.0
30	6	1.5532141058659616	0.6349877460423045	0.012528824806213378	0.003972337838323894	0.0	0.0	0.0	0.0
40	6	1.9944508181700304	0.6926333616039433	0.02080845832824707	0.0034301501164227103	0.0	0.0	0.0	0.0
50	6	2.280264207983204	0.6250343390872719	0.024405455589294432	0.0030026606429514975	0.0	0.0	0.0	0.0
70	6	2.562299538963913	0.5591946654885875	0.04855012893676758	0.005689990404579963	0.0	0.0	0.0	0.0
90	6	3.2314648410527953	0.8755158127525811	0.08750860691070557	0.02009695999221843	0.0	0.0	0.0	0.0
60	6	2.2348052851864075	0.20134587044901667	0.0385880708694458	0.00901025227205854	0.0	0.0	0.0	0.0
