b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 001\n'
b'  Variables        : 5320 (1200 binary, 0 integer, 0 implicit integer, 4120 continuous)\n'
b'  Constraints      : 13850\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1489 (446 binary, 0 integer, 0 implicit integer, 1043 continuous)\n'
b'  Constraints      : 1661\n'
b'Constraints        : Number\n'
b'  knapsack         : 10 \n'
b'  setppc           : 124 \n'
b'  linear           : 1522 \n'
b'  logicor          : 5 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       2              2           1         8           2.3089           0.0000         -\n'
b'*       2              2           1         8           2.2627           0.0000         -\n'
b'*       2              2           1         8           1.9867           0.0000         -\n'
b'*       5             20          19         8           1.5052           0.0000         -\n'
b'        5            445         286         8           1.5052           0.0000         -\n'
b'Racing ramp-up finished after 7.4900 seconds. Selected strategy 7.\n'
b'       10           1348         635         8           1.5052           0.0000         -           0.0000         -\n'
b'       16           4792        3006         8           1.5052           0.0000         -           0.0000         -\n'
b'       21           9646        5597         8           1.5052           0.0000         -           0.0000         -\n'
b'       26          14425        7814         8           1.5052           0.0000         -           0.0000         -\n'
b'       31          21045       10801         8           1.5052           0.0000         -           0.0000         -\n'
b'       36          28493       13601         8           1.5052           0.0000         -           0.0000         -\n'
b'       41          35772       16190         8           1.5052           0.0000         -           0.0000         -\n'
b'       46          42848       18685         8           1.5052           0.0000         -           0.0000         -\n'
b'       51          51512       21388         8           1.5052           0.0000         -           0.0000         -\n'
b'       56          59954       23815         8           1.5052           0.0000         -           0.0000         -\n'
b'       61          69279       26383         8           1.5052           0.0000         -           0.0000         -\n'
b'       66          78182       28972         8           1.5052           0.0000         -           0.0002         -\n'
b'       71          86829       31336         8           1.5052           0.0000         -           0.0003         -\n'
b'       76          96121       33754         8           1.5052           0.0000         -           0.0090         -\n'
b'       82         105443       36028         8           1.5052           0.0000         -           0.0091         -\n'
b'       87         114237       38181         8           1.5052           0.0000         -           0.0091         -\n'
b'       92         123948       40612         8           1.5052           0.0000         -           0.0103         -\n'
b'       97         133340       42980         8           1.5052           0.0000         -           0.0110         -\n'
b'      102         142892       45019         8           1.5052           0.0000         -           0.0161         -\n'
b'      107         152710       47841         8           1.5052           0.0000         -           0.0164         -\n'
b'      112         161823       50154         8           1.5052           0.0000         -           0.0164         -\n'
b'      117         171940       52290         8           1.5052           0.0000         -           0.0164         -\n'
b'      122         181158       54205         8           1.5052           0.0000         -           0.0167         -\n'
b'      127         191460       56351         8           1.5052           0.0000         -           0.0167         -\n'
b'      132         201678       58472         8           1.5052           0.0000         -           0.0167         -\n'
b'      137         211961       61119         8           1.5052           0.0000         -           0.0167         -\n'
b'      142         221418       63883         8           1.5052           0.0000         -           0.0174         -\n'
b'      147         231371       66590         8           1.5052           0.0000         -           0.0174         -\n'
b'      153         240665       68974         8           1.5052           0.0000         -           0.0175         -\n'
b'      158         250295       71481         8           1.5052           0.0000         -           0.0179         -\n'
b'      163         260058       73992         8           1.5052           0.0000         -           0.0186         -\n'
b'      168         269662       75979         8           1.5052           0.0000         -           0.0205         -\n'
b'*     173         278625       78282         8           1.3742           0.0000         -           0.0248         -\n'
b'      173         279351       78046         8           1.3742           0.0000         -           0.0267         -\n'
b'      178         289322       80812         8           1.3742           0.0000         -           0.0267         -\n'
b'      183         298412       83118         8           1.3742           0.0000         -           0.0267         -\n'
b'      188         308931       85647         8           1.3742           0.0000         -           0.0267         -\n'
b'      193         318667       88151         8           1.3742           0.0000         -           0.0267         -\n'
b'      198         328811       90483         8           1.3742           0.0000         -           0.0267         -\n'
b'      203         339052       92823         8           1.3742           0.0000         -           0.0267         -\n'
b'      208         349057       95012         8           1.3742           0.0000         -           0.0267         -\n'
b'      214         359642       97434         8           1.3742           0.0000         -           0.0267         -\n'
b'      219         369435       99683         8           1.3742           0.0000         -           0.0286         -\n'
b'      224         378170      101674         8           1.3742           0.0000         -           0.0300         -\n'
b'      229         388328      103924         8           1.3742           0.0000         -           0.0318         -\n'
b'      234         398068      106260         8           1.3742           0.0000         -           0.0318         -\n'
b'      239         407491      108536         8           1.3742           0.0000         -           0.0318         -\n'
b'      244         417415      110746         8           1.3742           0.0000         -           0.0318         -\n'
b'      249         427643      112996         8           1.3742           0.0000         -           0.0318         -\n'
b'      254         438138      115180         8           1.3742           0.0000         -           0.0318         -\n'
b'      259         449007      117556         8           1.3742           0.0000         -           0.0318         -\n'
b'      264         460856      120129         8           1.3742           0.0000         -           0.0318         -\n'
b'      269         471402      122443         8           1.3742           0.0000         -           0.0318         -\n'
b'      274         481627      124612         8           1.3742           0.0000         -           0.0318         -\n'
b'      280         492000      126752         8           1.3742           0.0000         -           0.0318         -\n'
b'      285         502371      128887         8           1.3742           0.0000         -           0.0318         -\n'
b'      290         512139      130943         8           1.3742           0.0000         -           0.0318         -\n'
b'*     290         513614      131272         8           1.2427           0.0000         -           0.0318         -\n'
b'      295         522565      132667         8           1.2427           0.0000         -           0.0318         -\n'
b'      300         533089      134898         8           1.2427           0.0000         -           0.0318         -\n'
b'      305         542504      137142         8           1.2427           0.0000         -           0.0318         -\n'
b'      310         552471      139450         8           1.2427           0.0000         -           0.0318         -\n'
b'      315         563500      141736         8           1.2427           0.0000         -           0.0318         -\n'
b'      320         573508      143935         8           1.2427           0.0000         -           0.0318         -\n'
b'      325         583852      146030         8           1.2427           0.0000         -           0.0318         -\n'
b'      330         595479      148469         8           1.2427           0.0000         -           0.0318         -\n'
b'      335         606209      150850         8           1.2427           0.0000         -           0.0318         -\n'
b'      340         616189      153306         8           1.2427           0.0000         -           0.0318         -\n'
b'      345         627686      155525         8           1.2427           0.0000         -           0.0318         -\n'
b'      350         639162      157577         8           1.2427           0.0000         -           0.0318         -\n'
b'      356         650876      159880         8           1.2427           0.0000         -           0.0318         -\n'
b'      361         661366      161885         8           1.2427           0.0000         -           0.0318         -\n'
b'      366         672304      163967         8           1.2427           0.0000         -           0.0318         -\n'
b'      371         683284      166242         8           1.2427           0.0000         -           0.0318         -\n'
b'      376         693388      168211         8           1.2427           0.0000         -           0.0318         -\n'
b'      381         704129      170303         8           1.2427           0.0000         -           0.0318         -\n'
b'      386         714210      172423         8           1.2427           0.0000         -           0.0318         -\n'
b'      391         725026      174690         8           1.2427           0.0000         -           0.0318         -\n'
b'      396         736373      176832         8           1.2427           0.0000         -           0.0318         -\n'
b'*     397         738268      177247         8           1.2052           0.0000         -           0.0318         -\n'
b'      401         747219      178848         8           1.2052           0.0000         -           0.0318         -\n'
b'      406         757506      180933         8           1.2052           0.0000         -           0.0318         -\n'
b'      411         769480      182947         8           1.2052           0.0000         -           0.0318         -\n'
b'      416         781325      185013         8           1.2052           0.0000         -           0.0318         -\n'
